2025-09-05 13:13:09 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:13:31 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:13:31 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:13:31 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:13:35 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:13:39 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.05 MB/s
2025-09-05 13:13:39 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:13:40 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:13:40 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:13:40 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:13:40 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:13:42 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:13:46 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:13:49 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:13:52 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:13:55 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 5 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:13:59 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 6 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:00 | ERROR    | __main__             | main            | ❌ Fatal error: Connection to Telegram failed 5 time(s)
2025-09-05 13:14:00 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 13:14:21 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:14:21 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:14:21 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:14:23 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:14:28 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.03 MB/s
2025-09-05 13:14:28 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:14:28 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:14:28 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:14:28 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:14:28 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:14:30 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:34 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:37 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:40 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:44 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 5 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:47 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 6 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:14:48 | ERROR    | __main__             | main            | ❌ Fatal error: Connection to Telegram failed 5 time(s)
2025-09-05 13:14:48 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 13:21:48 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:21:48 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:21:48 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:21:52 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:21:57 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.04 MB/s
2025-09-05 13:21:57 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:21:57 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:21:57 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:21:57 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:21:57 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:22:01 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:22:03 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 13:49:19 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:49:19 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:49:19 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:49:23 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:49:27 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.05 MB/s
2025-09-05 13:49:27 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:49:27 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:49:27 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:49:27 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:49:27 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:49:29 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:49:32 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:49:36 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:49:39 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:49:42 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 5 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:50:38 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:50:38 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:50:38 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:50:41 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:50:51 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.01 MB/s
2025-09-05 13:50:51 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:50:51 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:50:51 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:50:51 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:50:51 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:50:53 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:50:57 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:51:00 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:51:03 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:51:45 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:51:45 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:51:45 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:51:46 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:51:50 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.04 MB/s
2025-09-05 13:51:50 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:51:50 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:51:50 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:51:50 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:51:50 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:51:53 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:51:56 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:51:59 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:52:02 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:52:06 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 5 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:29 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:53:29 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:53:29 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:53:30 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:53:37 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.03 MB/s
2025-09-05 13:53:37 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:53:37 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:53:37 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:53:37 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
